AED1,PI,IA,MD,AL,Disciplinas Trancadas,Total de Os,Faltas,CR,Class
3.9722062653881656,2.203732228802953,5.9089899401444566,5.889234446281844,2.3009211084601766,2,3,0,2.946151846544197,0
2.3531317079644056,1.2038464311605965,0.0,0.0,0.0,5,3,5,0.0,0
2.513194345481905,0.43637225221906206,0.0,1.6951926964549813,0.0,2,3,4,0.3737733526531232,0
4.9415585156568325,8.419892505333475,5.835024559839926,4.842682250228491,6.358377232978511,3,1,5,2.2723802146425087,0
5.719776579048428,6.418442637061767,9.58757411579175,5.7864965054837025,9.994087936510427,3,0,1,3.658181247981411,1
4.914457835729525,3.070913090813941,3.695749656310866,1.5162207222086819,0.6662324961125257,2,2,5,1.5549338823976127,0
5.761847899765406,5.821302856016702,9.190661335229267,7.812287787595,7.698243380024267,3,1,2,3.3772311093331604,1
10.0,7.933797987002817,10.0,7.475586351769614,6.7218396688803885,2,3,2,3.4646611427206526,0
5.833481451191476,5.669804012148559,9.193067468434533,9.667304129313347,5.747860281167615,2,2,0,3.787263696407999,0
10.0,10.0,6.125977671238405,9.574249619679575,8.378748476242091,5,0,5,3.3560304251531115,0
8.478627032275885,8.40602042078638,7.263716107004361,5.82882647207587,4.4821007762805785,3,0,1,1.9745038219680116,1
10.0,9.46320644644851,6.99582948102703,7.356389102065529,10.0,1,1,1,3.1056212711094546,1
1.9617866384579348,2.900860041286225,1.8983066733484444,4.255362363050262,5.176057320934014,2,3,2,2.0408498211862884,0
7.415670978835664,6.185315722356279,6.828898302108944,10.0,9.071900050131116,1,1,1,3.9362270247752313,1
9.015365353647667,5.620430412927734,7.76358524107461,7.832336083788797,5.898628165029726,2,0,2,2.982332811056294,1
9.06507274409338,5.993310559379266,9.971138429910681,10.0,8.422055175374593,2,0,2,4.0,1
5.140673614200502,8.649055233545212,10.0,8.789438685124722,7.50083451844554,1,1,2,2.3411612947021934,1
6.391105546447355,8.854405664486144,10.0,10.0,8.420805932017958,1,0,0,4.0,1
3.083566111005957,4.802563461830932,0.0,0.8887146313010359,0.0,4,3,1,1.063112277216103,0
8.590797409378151,7.274236004105764,10.0,6.714041147662457,9.858819541380534,2,1,2,3.0008103519572846,1
2.445014700821135,4.54043374837118,0.8628153522105624,4.142173359275046,3.653525798440179,2,0,3,0.6351898889229325,0
8.748760370657033,9.912147480936632,6.4229228786732095,8.572036618982953,9.444754986767766,3,1,3,3.122900237575497,1
10.0,5.494731918882035,6.041313891891411,9.21166951478322,5.975702609825342,4,3,5,2.010104066373337,0
6.692268739784826,5.7213839867161465,5.931714553137403,5.675510457789129,3.7825266085415015,2,3,5,1.5939524187078016,0
0.3469376219751945,0.0,2.937193995770449,2.2708803703246003,0.0,2,2,0,0.851107225026097,0
0.8717555125010179,0.0,1.2733205793514504,0.0,0.7045698213900771,3,0,5,0.30310439251626664,0
4.991830117731794,1.492810577942916,3.7487153109751,2.6550119845098057,4.024221343087058,2,3,1,1.6019192842330932,0
9.299226750340399,6.564622064789923,6.617906262080342,10.0,7.758589106563656,2,1,1,2.9094571087847134,1
9.141871557503901,6.354592253482089,8.868739181516258,4.053401739488198,7.662746324212003,3,1,5,3.215114694608839,0
7.669151914534411,4.325625399254162,9.433187672212034,8.762093202965758,8.438548871670255,1,0,1,2.968713870804165,1
10.0,7.67135667660635,10.0,7.0970265142070685,10.0,2,1,1,4.0,1
9.472150992991693,10.0,9.089325118969144,8.381442061526752,5.858327537296734,3,1,0,2.542896898494397,1
5.49905347135895,2.2295097805346398,4.116743175102855,5.579456850735825,5.004243149843617,2,1,2,2.067700090596474,0
6.062124346362386,6.187089108455003,4.177582646161268,7.646496904402786,6.542555920891181,5,3,5,3.133216569949359,0
10.0,6.044220313510559,10.0,6.893400046084167,9.506713528238635,1,1,1,4.0,1
10.0,9.711813416757092,6.8160845235261664,10.0,9.155696275021738,1,1,3,3.1908884812795324,1
0.9425408554159622,0.30617713932839186,0.0,0.0,1.9047783131772746,2,1,2,0.32975285072050353,0
8.648020904746678,10.0,8.990825316492622,9.543490580753389,7.329603263001478,0,1,1,3.5160262140194427,1
0.7364247851529679,0.10775277625214441,2.6493327171562298,1.0584135098904095,3.6443044380384304,2,3,4,0.0,0
7.755983708943319,4.443872906655837,7.8908110586321065,5.2298800667803995,4.172946592496781,2,0,5,2.2712004725398747,0
6.328714585511592,6.007432744541649,7.229330470292329,9.914099950645122,10.0,2,1,1,2.8112038864432236,1
8.295543452409628,7.485275024698632,8.64061146173217,10.0,7.693453663479853,1,1,3,3.0226826882151085,1
5.373363386072654,8.217700006299264,3.6522043518278102,6.833715700362682,4.765679218953233,2,3,2,1.218617606840908,0
4.782494038220942,1.00032381689471,3.6266598398220413,1.7780214684497135,3.1960377366513457,4,0,2,0.9199815420841151,0
2.7280917081538187,6.174265613487271,3.0651604263495624,6.564000451929681,7.38434492303355,3,3,2,2.153356752324129,0
0.0,0.0,0.0,1.165351141512759,0.0,4,3,5,0.04689658050115178,0
7.141242221511278,7.344466358389467,4.558659698434172,9.196136823346453,7.932808070881327,3,3,3,2.352176618650129,0
10.0,6.2849608871627,9.129784569938685,8.10299261555503,10.0,2,0,1,3.2481926811552913,1
8.50463828954214,6.331921828813236,7.037500912951442,10.0,8.094441690500833,1,0,2,2.5316252718724312,1
8.324811616669688,5.4872061494062105,9.77970548035583,8.185766586967956,5.140179592902317,2,0,1,3.5025742572497442,1
6.37296583608237,8.659365336432973,6.112251062473884,10.0,10.0,3,1,0,3.185518113145865,1
2.9771304470003064,2.9545193924533604,5.195581027829505,6.2724179966528615,5.878726593227891,5,2,0,1.473561454040935,0
8.086187542297372,7.779667753021566,6.142388870003111,5.583346835785178,10.0,1,1,3,2.660145542589728,1
3.793860629692134,3.096671717682295,6.1739696711299406,2.466614907187579,1.7109350027123793,3,3,3,1.435337881145785,0
7.8300492654779745,8.966473878865473,7.468280845704335,8.99900960589796,9.585511331584843,3,0,2,3.6261748322927705,1
6.213318008516933,8.659048075862353,7.382937473434789,9.2767535644196,9.24494850444032,1,0,0,3.573536663108353,1
9.358413741303703,5.739278532459565,6.810002230306075,7.062243003692607,9.781735377838913,0,1,2,2.937705480054305,1
7.296518146226722,10.0,7.462604486312811,9.131416069628436,8.011470193797061,2,1,2,3.428175402058198,1
10.0,10.0,6.57356597655229,9.246852503220543,8.419409131631662,0,1,1,3.800480217875778,1
1.734870006207979,0.4746369416740661,0.0,0.0,0.0,5,0,4,1.1602652737861359,0
8.074503191830445,5.216256228662111,3.823344927334012,3.349850866770634,6.619357800633756,2,1,2,2.4191400842797552,0
9.669788564611908,9.603723033284195,9.584272570457117,7.847375702901649,8.042421254511531,1,1,3,4.0,1
10.0,8.634612726353922,10.0,9.327163472335528,10.0,2,1,0,3.95270094985798,0
4.060836384173912,7.058468190304035,4.735130266442307,7.20828591719688,4.619143977608854,0,1,0,2.3032184949244137,1
8.23222335808272,8.052997321543078,6.985740804817684,7.637830228974395,8.688098140583037,1,1,2,3.611906432755683,1
9.69399662547265,6.2195249594858595,9.744722890325667,8.366293919948207,10.0,2,0,3,3.0596779561060887,0
8.895185112871518,7.9464941310729476,4.177306924229474,8.986235291957781,6.167799093695999,5,0,1,3.0416170568292182,0
0.0,2.4809627950017896,2.5624041551647165,0.0,0.0,5,2,0,0.0,0
4.2444391930326315,1.6108835209621457,0.5339249717893919,2.5589085367893194,3.0259432441904455,3,1,2,1.6200519489046252,0
7.596932929071913,6.034596019894368,8.386969269240328,7.006709333342492,5.237351769856483,3,3,3,2.427455839287644,0
6.416197544445328,7.137278956627474,9.818737920825075,7.491045930035016,5.827627008451168,2,1,3,2.6326228635695497,1
1.4667475493749196,4.6718057944472235,1.4051199117639879,4.767161945217493,3.5860295121565513,4,3,2,1.918549573770214,0
10.0,7.49930326297511,6.173383252718035,8.37091390990154,10.0,3,1,1,3.3907110512527625,1
8.428238862355727,9.707409712634448,10.0,9.263995322607386,7.303080891695947,0,1,3,3.5905350319621863,1
0.0,2.7107487015007585,2.869904819451669,1.9906025041004654,1.4609780711602927,2,3,5,0.8470234536729995,0
7.256606178750584,7.741405723801729,6.6574377537219185,5.457455518181369,7.554445679611537,5,3,2,2.0666015709126113,0
8.826905009239852,8.422005370814537,6.565745031142161,8.330437312080932,9.715015814461651,3,0,1,3.820326310064157,1
7.005112477384937,5.895535686236654,9.244626921018995,6.587892248307158,9.169847995664739,5,2,5,3.1036493887220264,0
8.801541808620042,7.193210191921119,8.129034373207324,9.332220537247654,6.813599283270348,0,1,3,2.2284286130563595,1
8.326386129633953,9.883172703281808,10.0,9.238256272728746,8.600320373652107,1,1,1,4.0,1
4.97817572395713,8.485571972298462,7.743881268867851,9.13089669469526,7.647785236500512,3,3,5,3.2704466440891626,0
2.8556602666422473,0.0,0.0,0.0,0.0,5,0,1,0.7915118162199566,0
3.091785111175408,2.8213747585885276,2.7564522197595362,6.3486391482319355,6.882190762523391,5,3,4,1.7344224811847084,0
7.2381534839940445,7.041242469577814,6.951534622224061,4.9894104216814705,4.722813247378637,2,0,1,2.056911400983008,1
8.61929371173581,7.14516879770071,3.466670732452802,8.875243340645827,5.722827210067344,2,2,4,2.4595369297898566,0
7.988471027129911,8.718039346419717,7.385416332906451,10.0,8.646379088561098,0,1,3,4.0,1
5.5064299995538075,8.211156958166496,6.651367576835265,7.1211199270450685,9.778929579866844,3,0,4,4.0,0
8.518583371081585,8.13957135172505,9.505792215288073,9.188910521205184,9.798766147676801,1,1,3,3.9830987472147092,1
9.235067243387615,9.773124625188942,10.0,8.613590414794604,10.0,1,1,2,3.327192373051518,1
10.0,7.529060129288277,9.792907250978821,5.450983747633285,6.1935222308701965,2,0,1,3.0437686040424596,1
8.951454520271913,7.943696010943678,10.0,10.0,5.066403219241132,4,2,0,2.470703410875054,0
8.581250642019079,6.948606151419494,8.205741067052342,10.0,10.0,1,1,3,3.8098218709083507,1
9.560179913506229,8.303135599214412,8.802732319590689,4.439517592713686,9.740688644061265,2,3,3,3.6407311197878,0
