,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation,continent
0,Albania,1987,male,15-24 years,21,312900,6.71,"2,156,624,900",796,Generation X,Europe
1,Albania,1987,male,35-54 years,16,308000,5.19,"2,156,624,900",796,Silent,Europe
2,Albania,1987,female,15-24 years,14,289700,4.83,"2,156,624,900",796,Generation X,Europe
3,Albania,1987,male,75+ years,1,21800,4.59,"2,156,624,900",796,G.I. Generation,Europe
4,Albania,1987,male,25-34 years,9,274300,3.28,"2,156,624,900",796,Boomers,Europe
5,Albania,1987,female,75+ years,1,35600,2.81,"2,156,624,900",796,G.I. Generation,Europe
6,Albania,1987,female,35-54 years,6,278800,2.15,"2,156,624,900",796,Silent,Europe
7,Albania,1987,female,25-34 years,4,257200,1.56,"2,156,624,900",796,Boomers,Europe
8,Albania,1987,male,55-74 years,1,137500,0.73,"2,156,624,900",796,G.I. Generation,Europe
9,Albania,1987,female,5-14 years,0,311000,0.0,"2,156,624,900",796,Generation X,Europe
10,Albania,1987,female,55-74 years,0,144600,0.0,"2,156,624,900",796,G.I. Generation,Europe
11,Albania,1987,male,5-14 years,0,338200,0.0,"2,156,624,900",796,Generation X,Europe
12,Albania,1988,female,75+ years,2,36400,5.49,"2,126,000,000",769,G.I. Generation,Europe
13,Albania,1988,male,15-24 years,17,319200,5.33,"2,126,000,000",769,Generation X,Europe
14,Albania,1988,male,75+ years,1,22300,4.48,"2,126,000,000",769,G.I. Generation,Europe
15,Albania,1988,male,35-54 years,14,314100,4.46,"2,126,000,000",769,Silent,Europe
16,Albania,1988,male,55-74 years,4,140200,2.85,"2,126,000,000",769,G.I. Generation,Europe
17,Albania,1988,female,15-24 years,8,295600,2.71,"2,126,000,000",769,Generation X,Europe
18,Albania,1988,female,55-74 years,3,147500,2.03,"2,126,000,000",769,G.I. Generation,Europe
19,Albania,1988,female,25-34 years,5,262400,1.91,"2,126,000,000",769,Boomers,Europe
20,Albania,1988,male,25-34 years,5,279900,1.79,"2,126,000,000",769,Boomers,Europe
21,Albania,1988,female,35-54 years,4,284500,1.41,"2,126,000,000",769,Silent,Europe
22,Albania,1988,female,5-14 years,0,317200,0.0,"2,126,000,000",769,Generation X,Europe
23,Albania,1988,male,5-14 years,0,345000,0.0,"2,126,000,000",769,Generation X,Europe
24,Albania,1989,male,75+ years,2,22500,8.89,"2,335,124,988",833,G.I. Generation,Europe
25,Albania,1989,male,25-34 years,18,283600,6.35,"2,335,124,988",833,Boomers,Europe
26,Albania,1989,male,35-54 years,15,318400,4.71,"2,335,124,988",833,Silent,Europe
27,Albania,1989,male,55-74 years,6,142100,4.22,"2,335,124,988",833,G.I. Generation,Europe
28,Albania,1989,male,15-24 years,12,323500,3.71,"2,335,124,988",833,Generation X,Europe
29,Albania,1989,female,35-54 years,7,288600,2.43,"2,335,124,988",833,Silent,Europe
