Título,Canal,Inscritos,Duração,Link,Tema,Formato,Data,Visualizações
MAPA MENTAL DE NIETZSCHE,Alimente o Cérebro,157,08:18,https://www.youtube.com/watch?v=KHnnNOkryMg&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=2&t=0s,Filosofia,Vlog,24 de mar. de 2018,250777
VALE A PENA FAZER FACULDADE DE ASTRONOMIA?,Alimente o Cérebro,157,10:10,https://www.youtube.com/watch?v=cwRHEfZm718&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=3&t=0s,Astronomia,Vlog,24 de jan. de 2016,159688
APRENDA A PENSAR MELHOR #1 - Por que argumentar?,Alimente o Cérebro,157,06:37,https://www.youtube.com/watch?v=jV4K-t27l0E&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=4&t=0s,Filosofia,Vlog,26 de jul. de 2015,122856
MARATONA NIETZSCHE: O que é o niilismo?,Alimente o Cérebro,157,07:11,https://www.youtube.com/watch?v=xowiTRRsQIs&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=5&t=0s,Filosofia,Vlog,19 de mar. de 2018,107344
INTRODUÇÃO À LÓGICA 1x01 – A definição de argumento,Alimente o Cérebro,157,15:56,https://www.youtube.com/watch?v=u-R_dAtEP9k&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=6&t=0s,Filosofia,Vlog,11 de dez. de 2017,98630
PAPO CABEÇA SOBRE SOCIALISMO E COMUNISMO,Alimente o Cérebro,157,15:16,https://www.youtube.com/watch?v=3Sv8B99lpR0&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=7&t=0s,Sociologia,Vlog,29 de mai. de 2017,95030
O PENSAMENTO DO FILÓSOFO EPICURO,Alimente o Cérebro,157,12:32,https://www.youtube.com/watch?v=1qWGGhkZcB0&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=8&t=0s,Filosofia,Vlog,09 de mar. de 2017,90651
"O PENSAMENTO DOS FILÓSOFOS SOFISTAS (Protágoras, Górgias, etc)",Alimente o Cérebro,157,23:07,https://www.youtube.com/watch?v=tTa8Zg5HO0M&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=9&t=0s,Filosofia,Vlog,30 de mar. de 2017,86612
MAIORES DESCOBERTAS DA ASTRONOMIA EM 2015,Alimente o Cérebro,157,12:24,https://www.youtube.com/watch?v=AV5PjSoNZJc&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=10&t=0s,Astronomia,Vlog,22 de dez. de 2015,83435
A FILOSOFIA EM PINK FLOYD,Alimente o Cérebro,157,07:58,https://www.youtube.com/watch?v=Acc3bex1pIQ&list=PLAvEh87VNIIdg7AG8XbzKmOVx3_9RiGPS&index=11&t=0s,Filosofia,Vlog,07 de ago. de 2014,80571
