Título,Canal,Inscritos,Duração,Link,Tema,Formato,Data,Visualizações
MAPA MENTAL DE NIETZSCHE,Alimente o Cérebro,157000,498,https://www.youtube.com/watch?v=KHnnNOkryMg,Filosofia,Vlog,636,250777
VALE A PENA FAZER FACULDADE DE ASTRONOMIA?,Alimente o Cérebro,157000,610,https://www.youtube.com/watch?v=cwRHEfZm718,Astronomia,Vlog,1416,159688
APRENDA A PENSAR MELHOR #1 - Por que argumentar?,Alimente o Cérebro,157000,397,https://www.youtube.com/watch?v=jV4K-t27l0E,Filosofia,Vlog,1594,122856
MARATONA NIETZSCHE: O que é o niilismo?,Alimente o Cérebro,157000,431,https://www.youtube.com/watch?v=xowiTRRsQIs,Filosofia,Vlog,641,107344
INTRODUÇÃO À LÓGICA 1x01 – A definição de argumento,Alimente o Cérebro,157000,956,https://www.youtube.com/watch?v=u-R_dAtEP9k,Filosofia,Vlog,739,98630
PAPO CABEÇA SOBRE SOCIALISMO E COMUNISMO,Alimente o Cérebro,157000,916,https://www.youtube.com/watch?v=3Sv8B99lpR0,Sociologia,Vlog,931,95030
O PENSAMENTO DO FILÓSOFO EPICURO,Alimente o Cérebro,157000,752,https://www.youtube.com/watch?v=1qWGGhkZcB0,Filosofia,Vlog,1011,90651
"O PENSAMENTO DOS FILÓSOFOS SOFISTAS (Protágoras, Górgias, etc)",Alimente o Cérebro,157000,1387,https://www.youtube.com/watch?v=tTa8Zg5HO0M,Filosofia,Vlog,990,86612
MAIORES DESCOBERTAS DA ASTRONOMIA EM 2015,Alimente o Cérebro,157000,744,https://www.youtube.com/watch?v=AV5PjSoNZJc,Astronomia,Vlog,1448,83435
A FILOSOFIA EM PINK FLOYD,Alimente o Cérebro,157000,478,https://www.youtube.com/watch?v=Acc3bex1pIQ,Filosofia,Vlog,1943,80571
SABEDORIA É PODER (com Foucault),Alimente o Cérebro,157000,242,https://www.youtube.com/watch?v=jcd_oJ1AK7E,Filosofia,Ensaio,1956,73574
A CIÊNCIA DA VIDA FORA DA TERRA (com Carl Sagan),Alimente o Cérebro,157000,236,https://www.youtube.com/watch?v=uwia1pBuL-Q,Astronomia,Ensaio,1952,9306
O INFERNO SÃO OS OUTROS (com Sartre),Alimente o Cérebro,157000,360,https://www.youtube.com/watch?v=TgBlqr8vvRs,Filosofia,Vlog,1911,32515
A FILOSOFIA DE MATRIX (com René Descartes),Alimente o Cérebro,157000,345,https://www.youtube.com/watch?v=0GQPfQQwLzU,Filosofia,Vlog,1905,42291
DESCOBERTO NOSSO NOVO ENDEREÇO CÓSMICO,Alimente o Cérebro,157000,233,https://www.youtube.com/watch?v=2QbYxgZDFGw,Astronomia,Vlog,1904,8938
A OBRA PRIMA DA MPB (com Chico Buarque),Alimente o Cérebro,157000,339,https://www.youtube.com/watch?v=aPIeuJzo4Mk,Música,Vlog,1903,9388
COMPREENDER MAIS PARA TEMER MENOS (com Marie Curie),Alimente o Cérebro,157000,242,https://www.youtube.com/watch?v=OctipaE6TJg,História,Ensaio,1896,8282
FILMES PARA ALIMENTAR O CÉREBRO #1,Alimente o Cérebro,157000,313,https://www.youtube.com/watch?v=8cryb4Xbp2o,Cinema,Vlog,1859,26522
O MUNDO NÃO É PRETO OU BRANCO,Alimente o Cérebro,157000,203,https://www.youtube.com/watch?v=nErnOWdvdh0,Sociologia,Vlog,1856,6071
INTERESTELAR É O CINEMA INTELIGENTE,Alimente o Cérebro,157000,446,https://www.youtube.com/watch?v=AiUkZXQTN1M,Cinema,Vlog,1850,10668
O que acho da Ayn Rand e da astrologia | #PergunteAoCérebro,Alimente o Cérebro,157000,478,https://www.youtube.com/watch?v=OZ_8bTxYUf8,Opinião,Vlog,117,2605
EU DEIXEI O MUNDO ME EMBURRECER,Alimente o Cérebro,157000,447,https://www.youtube.com/watch?v=Ix63KiiJPCQ,Opinião,Vlog,147,7284
ALIMENTE O CÉREBRO COM KANT,Alimente o Cérebro,157000,816,https://www.youtube.com/watch?v=OIaJ_qH7EKQ,Filosofia,Vlog,199,6886
ALIMENTE O CÉREBRO COM PITTY (Matriz),Alimente o Cérebro,157000,672,https://www.youtube.com/watch?v=gWScSeSUjJo,Música,Vlog,205,3244
gentili e o paradoxo da tolerância de karl popper,Alimente o Cérebro,157000,380,https://www.youtube.com/watch?v=onc2_2nKPvw,Filosofia,Vlog,258,11727
CLUBE DO ALIMENTE O CÉREBRO,Alimente o Cérebro,157000,331,https://www.youtube.com/watch?v=dAh4fP9jDTg,Outro,Vlog,268,1220
o que aprendi com o universo,Alimente o Cérebro,157000,379,https://www.youtube.com/watch?v=NtcmiWppVoI,Filosofia,Vlog,274,3032
por que não acredito em karma,Alimente o Cérebro,157000,355,https://www.youtube.com/watch?v=Q2rDqmIONPA,Filosofia,Vlog,282,4594
como reencontrei minha auto-estima,Alimente o Cérebro,157000,471,https://www.youtube.com/watch?v=urW1b60Z4GA,Opinião,Vlog,292,6568
MAPA MENTAL DE KARL MARX,Alimente o Cérebro,157000,608,https://www.youtube.com/watch?v=JCWqYtxpaAA,Filosofia,Vlog,309,6440
O Mergulho da Cassini - Primeiras Imagens - Guia do Espaço 23 | Bláblálogia,BláBláLogia,179000,707,https://www.youtube.com/watch?v=C14rK2zeQoA,Astronomia,Ensaio,961,606128
